,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,385.0,1413.0,376.0,366.0,71.0,992.0,231889.0,3037.0,3265.0,7828.0,4611.0,1641.0,592.0,15209.0,5247.0,1124.0,7407.0,5504.0,271.0,54.0,1527.0,5097.0,1256.0,514.0,13514.0,7117.0,2960.0,2081.0,4994.0,7146.0,4574.0,221.0,5247.0,6851.0,6534.0,431.0,3904.0,5201.0,3370.0,985.0,3900.0,3021.0,4014.0,3497.0,244.0,6472.0,722.0,1643.0,2163.0,701.0,327.0,1932.0,3539.0,2353.0,976.0,1381.0,3727.0,108.0,10001.0,275.0,3907.0,715.0,554.0,3232.0,1381.0,488.0,1962.0,9930.0,4224.0,4466.0,1933.0,1148.0,3701.0,2388.0,4633.0,1249.0,2550.0,1123.0,646.0,3287.0,6484.0,5396.0,1977.0,981.0,6446.0,2029.0,500.0,1363.0,4588.0,9499.0,2050.0,6809.0,4293.0,5051.0,2933.0,750.0,1498.0,1246.0,2155.0,3538.0
1,833.0,248.0,445.0,75.0,496.0,723.0,483.0,59.0,168.0,678.0,177.0,244.0,1490.0,1001.0,151.0,228.0,270.0,262.0,574.0,1309.0,137.0,312.0,337.0,691.0,3581.0,1802.0,118.0,292697.0,12444.0,7341.0,6177.0,7522.0,9823.0,7383.0,1675.0,1788.0,2629.0,944.0,3505.0,13392.0,1372.0,13253.0,12206.0,5247.0,3186.0,3178.0,11051.0,2093.0,2554.0,5697.0,2647.0,439.0,1904.0,4609.0,1209.0,2224.0,1110.0,673.0,5373.0,4415.0,5760.0,2501.0,1999.0,2699.0,3387.0,2067.0,306.0,1934.0,297.0,6797.0,1603.0,4052.0,1951.0,2469.0,559.0,245.0,3770.0,2074.0,237.0,3504.0,1855.0,5050.0,1288.0,4236.0,3849.0,1213.0,3103.0,2917.0,575.0,497.0,263.0,4942.0,2656.0,4369.0,7737.0,1321.0,1531.0,68.0,4450.0,1168.0
2,505.0,194.0,81.0,234.0,862.0,404.0,3146.0,1097.0,6428.0,4013.0,4005.0,58349.0,32191.0,71.0,1952.0,1335.0,31272.0,6919.0,12885.0,13957.0,4640.0,107.0,631.0,8798.0,2975.0,2580.0,425.0,3360.0,5278.0,3921.0,402.0,4459.0,1612.0,1872.0,6711.0,4526.0,5761.0,3951.0,622.0,1625.0,3796.0,209.0,2865.0,1474.0,5717.0,5186.0,654.0,6895.0,8468.0,4951.0,525.0,3541.0,1927.0,6324.0,9600.0,1153.0,7625.0,105.0,1065.0,3514.0,834.0,194.0,4135.0,7000.0,1677.0,17623.0,4346.0,6600.0,5480.0,791.0,3515.0,226.0,3009.0,5154.0,275.0,9345.0,9551.0,920.0,5434.0,1671.0,6610.0,1927.0,4789.0,278.0,101.0,19325.0,1860.0,5673.0,1442.0,3037.0,1179.0,1436.0,245.0,3334.0,3439.0,3928.0,2360.0,4093.0,9426.0,6659.0
3,2635.0,2237.0,1301.0,5800.0,456.0,8228.0,108000.0,83048.0,21607.0,4524.0,412.0,3682.0,1306.0,2866.0,1942.0,4023.0,3436.0,501.0,1411.0,1261.0,427.0,3915.0,74.0,1358.0,2943.0,6179.0,1210.0,1438.0,2076.0,4681.0,2514.0,1669.0,3814.0,6274.0,630.0,3362.0,1318.0,600.0,100.0,2678.0,620.0,381.0,2644.0,447.0,2077.0,1215.0,1752.0,1683.0,196.0,1681.0,981.0,369.0,753.0,167.0,1448.0,242.0,1054.0,3487.0,1352.0,10289.0,5049.0,2132.0,2230.0,5989.0,1164.0,2980.0,4402.0,4212.0,675.0,3888.0,1758.0,2480.0,738.0,3447.0,2833.0,5179.0,575.0,1568.0,4455.0,5206.0,1071.0,9009.0,3510.0,8199.0,10134.0,3166.0,884.0,3447.0,719.0,851.0,6648.0,2033.0,4693.0,4612.0,622.0,223.0,10704.0,6223.0,2512.0,9504.0
4,15622.0,1570.0,4620.0,20408.0,44016.0,5065.0,4463.0,2536.0,956.0,665.0,536.0,792.0,1592.0,1429.0,2683.0,2197.0,2036.0,49.0,674.0,638.0,412.0,1740.0,976.0,314.0,59.0,268.0,922.0,943.0,690.0,2999.0,2334.0,580.0,816.0,30.0,3014.0,3216.0,1417.0,3026.0,252.0,136.0,289.0,690.0,2480.0,2396.0,7940.0,3932.0,869.0,678.0,372.0,2457.0,515.0,457.0,381.0,708.0,985.0,2693.0,1542.0,2998.0,5935.0,1012.0,2659.0,667.0,800.0,6798.0,3590.0,3175.0,366.0,941.0,2625.0,1418.0,1908.0,1846.0,2038.0,14658.0,3931.0,3744.0,3105.0,217.0,9855.0,368.0,3154.0,1339.0,4565.0,2105.0,1396.0,3610.0,425.0,13028.0,4761.0,8112.0,1355.0,6057.0,640.0,2472.0,2706.0,3674.0,1481.0,4193.0,6523.0,1978.0
5,1642.0,117.0,17603.0,7040.0,1098.0,65109.0,91677.0,10310.0,6986.0,4394.0,6078.0,1311.0,1276.0,5032.0,3415.0,268.0,463.0,1020.0,91.0,1689.0,7691.0,902.0,1315.0,3174.0,4825.0,867.0,566.0,3546.0,3036.0,310.0,3095.0,5714.0,4398.0,45.0,2337.0,1146.0,2211.0,735.0,3631.0,802.0,151.0,7926.0,2703.0,7068.0,2790.0,1965.0,1137.0,3088.0,3197.0,3064.0,2080.0,18111.0,13426.0,19698.0,13028.0,12668.0,5137.0,9532.0,8611.0,917.0,1236.0,12506.0,720.0,11447.0,3968.0,704.0,2384.0,130.0,939.0,8098.0,1653.0,25307.0,2074.0,251.0,2808.0,4785.0,3491.0,16666.0,1701.0,2794.0,5815.0,5432.0,7612.0,6629.0,11351.0,22617.0,2518.0,15256.0,11744.0,13366.0,1242.0,1270.0,2509.0,335.0,4012.0,2801.0,5340.0,2539.0,18376.0,17514.0
6,1349.0,144.0,1966.0,411.0,1207.0,2505.0,10843.0,17339.0,174546.0,1142.0,122853.0,4364.0,5520.0,102.0,152.0,1683.0,379.0,3263.0,2258.0,165.0,3379.0,409.0,813.0,3646.0,2935.0,2439.0,2352.0,10220.0,14582.0,3567.0,6852.0,2396.0,1888.0,3515.0,796.0,1377.0,4874.0,1757.0,551.0,309.0,1043.0,3064.0,4090.0,1629.0,1162.0,529.0,1477.0,3514.0,2976.0,1412.0,1043.0,4424.0,3698.0,1649.0,269.0,1446.0,5229.0,1582.0,1197.0,334.0,2539.0,2584.0,6123.0,1849.0,2453.0,967.0,11701.0,4286.0,580.0,3333.0,1405.0,2660.0,44.0,1696.0,914.0,232.0,2145.0,2995.0,1619.0,3238.0,422.0,2246.0,4102.0,3782.0,3383.0,1533.0,3404.0,2883.0,916.0,2289.0,1216.0,117.0,870.0,2523.0,412.0,7776.0,333.0,7789.0,2251.0,6532.0
7,1084.0,711.0,118.0,1063.0,1247.0,652.0,433.0,183.0,169.0,89.0,213.0,1011.0,98.0,306.0,4017.0,3052.0,4259.0,7668.0,20715.0,2884.0,1337.0,314386.0,3594.0,691.0,4806.0,2404.0,4669.0,2357.0,3554.0,7381.0,3666.0,9101.0,732.0,11490.0,229.0,303.0,4184.0,6249.0,1279.0,175.0,2195.0,6107.0,484.0,4349.0,4862.0,1482.0,5267.0,1100.0,2138.0,112.0,143.0,1076.0,442.0,7781.0,3798.0,2082.0,4593.0,898.0,1263.0,5967.0,925.0,2092.0,553.0,685.0,1449.0,1026.0,327.0,3771.0,959.0,2612.0,2728.0,1055.0,137.0,69.0,827.0,1712.0,2749.0,763.0,39.0,1228.0,4640.0,2726.0,3238.0,2402.0,1033.0,1259.0,1907.0,1549.0,2580.0,1040.0,1201.0,6146.0,1691.0,3085.0,4328.0,406.0,2697.0,1290.0,3848.0,356.0
8,1867.0,680.0,600.0,117.0,5973.0,8995.0,49403.0,67103.0,785.0,15704.0,30356.0,79964.0,20057.0,1131.0,945.0,1237.0,3549.0,1084.0,1610.0,2654.0,357.0,5521.0,968.0,5756.0,6325.0,3482.0,3009.0,834.0,441.0,194.0,1921.0,3535.0,6599.0,1389.0,6432.0,155.0,2273.0,557.0,2952.0,80.0,3168.0,1399.0,324.0,2442.0,5734.0,5328.0,7757.0,8523.0,2137.0,1280.0,855.0,9423.0,2323.0,4996.0,14118.0,1375.0,323.0,8199.0,956.0,3033.0,2757.0,343.0,6101.0,1115.0,2460.0,5939.0,508.0,598.0,10033.0,3721.0,8494.0,10719.0,11714.0,830.0,193.0,6947.0,782.0,150.0,2422.0,6147.0,2672.0,71.0,894.0,2569.0,802.0,12900.0,6347.0,4566.0,5132.0,75.0,3539.0,545.0,6378.0,1238.0,432.0,1304.0,927.0,893.0,739.0,2918.0
9,2483.0,449.0,731.0,224.0,217.0,455.0,617.0,1290.0,910.0,379.0,1617.0,149510.0,141884.0,544.0,547.0,1967.0,2287.0,3066.0,1222.0,3778.0,3227.0,1653.0,862.0,2345.0,3225.0,894.0,2674.0,5862.0,2115.0,3048.0,4465.0,838.0,818.0,4124.0,855.0,345.0,2628.0,2317.0,2936.0,2516.0,310.0,4402.0,347.0,4776.0,1251.0,2446.0,3338.0,2004.0,3180.0,789.0,1875.0,444.0,6269.0,1431.0,737.0,3791.0,1233.0,1158.0,4261.0,2961.0,3875.0,3082.0,426.0,3809.0,3791.0,200.0,3600.0,1127.0,107.0,881.0,2641.0,4998.0,2120.0,626.0,3718.0,1588.0,601.0,1322.0,2441.0,6007.0,4061.0,879.0,3708.0,388.0,1781.0,7969.0,1929.0,9673.0,1575.0,11054.0,900.0,754.0,2991.0,1723.0,6047.0,5268.0,1857.0,874.0,55.0,9332.0
