,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,28.0,26.0,61.0,40.0,16.0,12.0,11.0,25.0,9.0,12.0,30.0,14.0,11.0,20.0,12.0,10.0,28.0,11.0,10.0,17.0,13.0,14.0,11.0,14.0,14.0,11.0,16.0,9.0,11.0,12.0,13.0,10.0,12.0,11.0,38.0,92.0,63.0,46.0,45.0,45.0,53.0,76.0,129.0,105.0,75.0,60.0,77.0,116.0,175.0,196.0,132.0,139.0,199.0,159.0,247.0,261.0,152.0,110.0,160.0,120.0,87.0,172.0,217.0,168.0,199.0,103.0,177.0,167.0,208.0,170.0,299.0,172.0,171.0,273.0,132.0,200.0,172.0,162.0,228.0,163.0,157.0,212.0,162.0,209.0,193.0,227.0,163.0,176.0,183.0,230.0,151.0,177.0,213.0,219.0,234.0,201.0,171.0,174.0,179.0,194.0
1,15.0,21.0,13.0,14.0,48.0,10.0,13.0,11.0,16.0,13.0,23.0,13.0,25.0,12.0,13.0,11.0,18.0,10.0,12.0,20.0,11.0,10.0,12.0,14.0,13.0,16.0,9.0,12.0,12.0,12.0,16.0,14.0,16.0,14.0,18.0,15.0,19.0,78.0,12.0,32.0,40.0,102.0,35.0,88.0,64.0,118.0,70.0,49.0,45.0,65.0,99.0,74.0,94.0,106.0,176.0,101.0,44.0,142.0,137.0,128.0,142.0,158.0,176.0,185.0,208.0,123.0,208.0,194.0,224.0,201.0,254.0,211.0,213.0,157.0,183.0,190.0,146.0,316.0,187.0,194.0,195.0,210.0,329.0,179.0,249.0,217.0,215.0,255.0,216.0,337.0,183.0,191.0,215.0,173.0,193.0,272.0,220.0,329.0,189.0,246.0
2,42.0,12.0,10.0,14.0,17.0,14.0,20.0,19.0,14.0,12.0,12.0,10.0,25.0,18.0,14.0,15.0,12.0,10.0,19.0,27.0,10.0,33.0,12.0,11.0,10.0,13.0,10.0,12.0,17.0,24.0,12.0,15.0,15.0,34.0,30.0,43.0,21.0,22.0,34.0,64.0,84.0,78.0,86.0,84.0,133.0,76.0,93.0,94.0,132.0,127.0,121.0,141.0,158.0,107.0,162.0,183.0,120.0,121.0,108.0,275.0,109.0,127.0,171.0,157.0,138.0,132.0,149.0,161.0,141.0,223.0,149.0,328.0,160.0,173.0,129.0,180.0,189.0,179.0,135.0,146.0,242.0,186.0,216.0,169.0,185.0,155.0,172.0,400.0,145.0,176.0,190.0,267.0,188.0,211.0,162.0,217.0,168.0,168.0,181.0,134.0
3,16.0,16.0,20.0,22.0,51.0,13.0,16.0,23.0,42.0,13.0,23.0,10.0,9.0,18.0,10.0,18.0,13.0,28.0,13.0,19.0,20.0,10.0,16.0,18.0,19.0,53.0,43.0,24.0,15.0,40.0,61.0,29.0,91.0,65.0,34.0,84.0,89.0,86.0,92.0,90.0,112.0,77.0,91.0,111.0,84.0,98.0,133.0,235.0,78.0,102.0,200.0,157.0,249.0,291.0,136.0,454.0,318.0,160.0,78.0,176.0,162.0,358.0,138.0,500.0,175.0,191.0,199.0,216.0,115.0,126.0,300.0,197.0,105.0,208.0,205.0,158.0,186.0,345.0,395.0,226.0,184.0,263.0,476.0,188.0,168.0,191.0,150.0,175.0,152.0,128.0,163.0,124.0,156.0,136.0,110.0,242.0,156.0,139.0,187.0,131.0
4,24.0,18.0,51.0,23.0,60.0,46.0,22.0,12.0,13.0,9.0,40.0,14.0,20.0,23.0,14.0,14.0,13.0,12.0,15.0,15.0,9.0,32.0,16.0,33.0,61.0,98.0,32.0,111.0,133.0,123.0,139.0,108.0,148.0,78.0,114.0,227.0,113.0,205.0,201.0,87.0,165.0,158.0,241.0,457.0,309.0,189.0,186.0,111.0,90.0,180.0,122.0,135.0,157.0,165.0,120.0,156.0,119.0,179.0,160.0,205.0,212.0,210.0,146.0,201.0,190.0,227.0,165.0,192.0,145.0,179.0,126.0,167.0,233.0,123.0,128.0,146.0,137.0,161.0,261.0,197.0,180.0,187.0,203.0,243.0,357.0,204.0,207.0,170.0,160.0,361.0,240.0,212.0,189.0,243.0,192.0,263.0,184.0,165.0,185.0,267.0
5,27.0,13.0,16.0,45.0,15.0,22.0,27.0,14.0,28.0,23.0,14.0,20.0,15.0,16.0,28.0,17.0,13.0,23.0,13.0,22.0,12.0,19.0,10.0,12.0,21.0,9.0,12.0,18.0,10.0,15.0,12.0,18.0,79.0,11.0,120.0,51.0,245.0,353.0,333.0,286.0,309.0,234.0,176.0,344.0,318.0,366.0,239.0,258.0,325.0,358.0,297.0,263.0,486.0,266.0,456.0,419.0,500.0,293.0,344.0,331.0,226.0,324.0,301.0,226.0,302.0,307.0,314.0,303.0,274.0,268.0,259.0,231.0,260.0,249.0,323.0,223.0,322.0,326.0,500.0,296.0,430.0,343.0,199.0,390.0,311.0,232.0,171.0,294.0,206.0,212.0,130.0,254.0,171.0,189.0,136.0,220.0,191.0,164.0,160.0,145.0
6,29.0,16.0,19.0,14.0,20.0,11.0,13.0,12.0,15.0,19.0,28.0,22.0,11.0,22.0,28.0,11.0,10.0,8.0,13.0,11.0,20.0,13.0,11.0,10.0,12.0,12.0,10.0,13.0,11.0,11.0,16.0,12.0,16.0,10.0,11.0,10.0,9.0,10.0,26.0,19.0,25.0,31.0,50.0,45.0,48.0,57.0,47.0,82.0,58.0,129.0,73.0,113.0,53.0,140.0,129.0,62.0,146.0,92.0,195.0,80.0,137.0,109.0,122.0,197.0,121.0,131.0,158.0,158.0,122.0,186.0,208.0,279.0,214.0,117.0,130.0,100.0,147.0,132.0,102.0,107.0,120.0,162.0,264.0,132.0,160.0,161.0,164.0,238.0,191.0,182.0,177.0,211.0,307.0,202.0,181.0,270.0,269.0,211.0,175.0,256.0
7,27.0,20.0,32.0,19.0,22.0,36.0,13.0,16.0,69.0,15.0,12.0,19.0,11.0,15.0,17.0,21.0,11.0,16.0,44.0,54.0,12.0,74.0,122.0,124.0,131.0,94.0,117.0,175.0,176.0,148.0,99.0,192.0,156.0,182.0,171.0,172.0,175.0,373.0,321.0,120.0,171.0,127.0,149.0,200.0,214.0,159.0,257.0,157.0,292.0,218.0,419.0,333.0,310.0,500.0,397.0,417.0,344.0,341.0,251.0,350.0,271.0,340.0,350.0,221.0,276.0,292.0,231.0,215.0,347.0,323.0,311.0,370.0,300.0,386.0,61.0,291.0,306.0,265.0,284.0,387.0,451.0,296.0,308.0,302.0,194.0,317.0,117.0,320.0,179.0,97.0,186.0,192.0,185.0,18.0,31.0,202.0,13.0,195.0,195.0,14.0
8,19.0,18.0,17.0,22.0,18.0,13.0,20.0,24.0,15.0,9.0,20.0,20.0,11.0,28.0,13.0,19.0,10.0,18.0,18.0,9.0,13.0,10.0,10.0,15.0,10.0,50.0,12.0,16.0,17.0,11.0,10.0,17.0,14.0,14.0,23.0,79.0,51.0,98.0,151.0,67.0,151.0,76.0,73.0,67.0,104.0,82.0,60.0,94.0,160.0,223.0,165.0,241.0,234.0,227.0,257.0,149.0,244.0,259.0,341.0,500.0,213.0,267.0,212.0,214.0,199.0,388.0,174.0,490.0,185.0,230.0,196.0,191.0,190.0,284.0,222.0,201.0,212.0,500.0,254.0,170.0,197.0,230.0,172.0,205.0,230.0,252.0,214.0,222.0,289.0,221.0,329.0,303.0,214.0,181.0,210.0,159.0,209.0,184.0,139.0,380.0
9,20.0,14.0,24.0,28.0,18.0,21.0,20.0,15.0,10.0,14.0,10.0,11.0,22.0,15.0,12.0,20.0,15.0,16.0,11.0,10.0,41.0,21.0,21.0,38.0,9.0,11.0,10.0,12.0,19.0,75.0,41.0,27.0,29.0,71.0,130.0,130.0,82.0,74.0,74.0,80.0,115.0,96.0,100.0,67.0,113.0,58.0,95.0,169.0,74.0,80.0,103.0,115.0,152.0,81.0,100.0,84.0,177.0,142.0,216.0,112.0,217.0,284.0,198.0,119.0,153.0,91.0,115.0,131.0,183.0,188.0,192.0,391.0,87.0,213.0,171.0,181.0,193.0,245.0,227.0,101.0,175.0,163.0,196.0,247.0,200.0,231.0,223.0,187.0,209.0,178.0,188.0,204.0,241.0,290.0,230.0,202.0,294.0,245.0,181.0,500.0
