,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,53.0,88.0,86.0,82.0,91.0,76.0,95.0,121.0,63.0,99.0,947.0,1000.0,486.0,188.0,141.0,183.0,251.0,236.0,1000.0,204.0,198.0,204.0,284.0,270.0,141.0,95.0,83.0,137.0,97.0,117.0,96.0,222.0,103.0,99.0,104.0,343.0,110.0,151.0,246.0,121.0,118.0,223.0,120.0,213.0,201.0,209.0,213.0,207.0,426.0,181.0,153.0,243.0,255.0,342.0,274.0,348.0,377.0,435.0,395.0,311.0,336.0,242.0,298.0,532.0,246.0,231.0,561.0,237.0,200.0,453.0,881.0,435.0,370.0,414.0,420.0,334.0,440.0,334.0,443.0,363.0,445.0,501.0,567.0,302.0,552.0,314.0,178.0,584.0,360.0,475.0,295.0,388.0,238.0,228.0,269.0,218.0,309.0,223.0,173.0,293.0
1,65.0,76.0,72.0,73.0,69.0,84.0,60.0,78.0,100.0,119.0,167.0,608.0,1000.0,547.0,242.0,165.0,183.0,179.0,134.0,212.0,148.0,184.0,378.0,123.0,268.0,200.0,121.0,191.0,198.0,229.0,132.0,256.0,187.0,185.0,313.0,381.0,443.0,124.0,268.0,590.0,246.0,276.0,283.0,251.0,364.0,275.0,212.0,169.0,251.0,284.0,311.0,367.0,281.0,414.0,340.0,354.0,161.0,362.0,274.0,259.0,352.0,399.0,243.0,264.0,446.0,307.0,267.0,740.0,364.0,288.0,221.0,308.0,257.0,236.0,178.0,342.0,147.0,267.0,269.0,174.0,466.0,141.0,198.0,138.0,245.0,202.0,188.0,218.0,235.0,246.0,312.0,278.0,189.0,226.0,263.0,333.0,240.0,294.0,303.0,325.0
2,68.0,79.0,93.0,75.0,79.0,52.0,91.0,68.0,54.0,58.0,80.0,53.0,81.0,52.0,1000.0,1000.0,663.0,253.0,114.0,77.0,131.0,75.0,331.0,417.0,421.0,400.0,307.0,317.0,397.0,241.0,209.0,278.0,282.0,234.0,247.0,168.0,265.0,421.0,308.0,335.0,260.0,404.0,329.0,280.0,350.0,375.0,316.0,230.0,255.0,317.0,607.0,319.0,214.0,241.0,442.0,415.0,260.0,308.0,357.0,247.0,339.0,309.0,234.0,314.0,590.0,447.0,243.0,415.0,533.0,314.0,424.0,244.0,360.0,388.0,244.0,324.0,245.0,307.0,268.0,226.0,236.0,280.0,166.0,231.0,184.0,217.0,262.0,254.0,254.0,474.0,321.0,247.0,512.0,571.0,346.0,263.0,373.0,257.0,362.0,331.0
3,87.0,56.0,71.0,74.0,90.0,91.0,61.0,77.0,67.0,73.0,58.0,70.0,54.0,86.0,54.0,86.0,105.0,90.0,61.0,63.0,84.0,75.0,69.0,54.0,57.0,81.0,53.0,56.0,67.0,88.0,73.0,86.0,57.0,69.0,64.0,54.0,55.0,59.0,85.0,53.0,74.0,55.0,55.0,91.0,71.0,54.0,60.0,74.0,86.0,64.0,88.0,62.0,90.0,78.0,52.0,67.0,54.0,74.0,64.0,53.0,53.0,85.0,82.0,60.0,71.0,75.0,63.0,80.0,76.0,58.0,68.0,88.0,57.0,70.0,51.0,74.0,90.0,86.0,78.0,51.0,77.0,52.0,60.0,84.0,62.0,82.0,53.0,86.0,65.0,70.0,81.0,74.0,64.0,80.0,68.0,56.0,60.0,75.0,70.0,65.0
4,78.0,59.0,62.0,91.0,77.0,115.0,88.0,62.0,89.0,833.0,1000.0,130.0,193.0,134.0,147.0,197.0,161.0,208.0,199.0,128.0,191.0,191.0,197.0,118.0,181.0,351.0,314.0,303.0,187.0,125.0,180.0,208.0,292.0,373.0,189.0,468.0,120.0,241.0,243.0,385.0,118.0,223.0,118.0,270.0,210.0,182.0,325.0,231.0,203.0,268.0,132.0,256.0,336.0,122.0,263.0,300.0,151.0,205.0,223.0,265.0,274.0,188.0,152.0,188.0,317.0,269.0,182.0,254.0,181.0,261.0,181.0,271.0,537.0,184.0,231.0,317.0,1000.0,449.0,240.0,200.0,301.0,192.0,304.0,282.0,329.0,327.0,342.0,1000.0,917.0,476.0,344.0,316.0,1000.0,254.0,473.0,439.0,350.0,294.0,319.0,324.0
5,57.0,65.0,90.0,63.0,109.0,105.0,110.0,117.0,109.0,65.0,57.0,519.0,279.0,248.0,317.0,236.0,221.0,93.0,120.0,98.0,88.0,186.0,116.0,189.0,527.0,337.0,194.0,351.0,1000.0,1000.0,1000.0,424.0,384.0,484.0,470.0,384.0,477.0,833.0,308.0,287.0,342.0,251.0,293.0,248.0,227.0,397.0,405.0,192.0,336.0,176.0,325.0,527.0,198.0,350.0,442.0,620.0,264.0,477.0,318.0,315.0,436.0,245.0,341.0,257.0,327.0,375.0,522.0,370.0,249.0,234.0,291.0,216.0,703.0,473.0,427.0,232.0,233.0,224.0,189.0,300.0,267.0,197.0,196.0,229.0,188.0,342.0,184.0,562.0,218.0,145.0,355.0,148.0,611.0,149.0,186.0,158.0,247.0,121.0,156.0,259.0
6,81.0,83.0,57.0,71.0,87.0,84.0,94.0,111.0,54.0,92.0,251.0,1000.0,348.0,124.0,347.0,193.0,201.0,274.0,216.0,120.0,177.0,196.0,126.0,156.0,277.0,230.0,226.0,161.0,171.0,216.0,189.0,744.0,306.0,1000.0,1000.0,355.0,202.0,385.0,214.0,395.0,387.0,234.0,461.0,582.0,527.0,410.0,324.0,509.0,317.0,296.0,276.0,221.0,433.0,290.0,538.0,261.0,317.0,342.0,271.0,248.0,276.0,330.0,272.0,381.0,310.0,765.0,170.0,219.0,256.0,205.0,321.0,365.0,302.0,173.0,195.0,137.0,140.0,209.0,208.0,192.0,167.0,151.0,167.0,640.0,389.0,666.0,527.0,386.0,649.0,736.0,648.0,461.0,340.0,648.0,518.0,867.0,644.0,350.0,488.0,313.0
7,52.0,61.0,63.0,55.0,65.0,75.0,86.0,56.0,66.0,77.0,90.0,121.0,134.0,107.0,83.0,1000.0,519.0,271.0,298.0,337.0,319.0,395.0,592.0,326.0,1000.0,366.0,492.0,602.0,414.0,1000.0,529.0,400.0,470.0,526.0,1000.0,385.0,244.0,328.0,282.0,456.0,490.0,440.0,76.0,248.0,314.0,215.0,292.0,414.0,432.0,244.0,267.0,460.0,400.0,451.0,317.0,430.0,483.0,288.0,289.0,288.0,252.0,331.0,362.0,724.0,407.0,263.0,509.0,491.0,321.0,947.0,734.0,321.0,1000.0,321.0,427.0,343.0,377.0,311.0,315.0,435.0,617.0,298.0,606.0,344.0,594.0,841.0,530.0,462.0,231.0,441.0,320.0,380.0,316.0,344.0,270.0,359.0,237.0,452.0,314.0,347.0
8,51.0,55.0,56.0,89.0,106.0,115.0,82.0,80.0,91.0,84.0,53.0,51.0,88.0,86.0,66.0,78.0,70.0,51.0,90.0,54.0,79.0,172.0,781.0,609.0,1000.0,344.0,429.0,398.0,1000.0,1000.0,1000.0,369.0,1000.0,305.0,238.0,296.0,558.0,237.0,365.0,389.0,393.0,582.0,1000.0,292.0,367.0,257.0,253.0,357.0,375.0,421.0,215.0,404.0,250.0,262.0,274.0,338.0,248.0,617.0,207.0,263.0,378.0,272.0,383.0,266.0,328.0,296.0,159.0,311.0,321.0,248.0,517.0,229.0,411.0,348.0,236.0,447.0,379.0,304.0,433.0,242.0,367.0,368.0,297.0,331.0,233.0,260.0,752.0,616.0,1000.0,359.0,229.0,68.0,427.0,247.0,262.0,209.0,460.0,391.0,309.0,318.0
9,59.0,55.0,86.0,119.0,67.0,84.0,84.0,94.0,143.0,127.0,860.0,381.0,239.0,284.0,681.0,286.0,133.0,161.0,166.0,232.0,186.0,118.0,155.0,253.0,208.0,493.0,507.0,521.0,1000.0,287.0,264.0,281.0,225.0,427.0,300.0,432.0,279.0,352.0,377.0,306.0,357.0,262.0,358.0,270.0,355.0,569.0,490.0,651.0,343.0,333.0,448.0,354.0,171.0,415.0,357.0,349.0,365.0,534.0,324.0,538.0,328.0,355.0,630.0,456.0,416.0,490.0,312.0,470.0,308.0,568.0,404.0,292.0,364.0,1000.0,376.0,328.0,223.0,287.0,198.0,372.0,334.0,363.0,312.0,335.0,336.0,429.0,316.0,369.0,430.0,313.0,373.0,528.0,616.0,254.0,406.0,156.0,364.0,320.0,589.0,356.0
