,0,1,2,3,4,5,6,7,8,9
0,84.0,79.0,81.0,88.0,70.0,70.0,54.0,53.0,67.0,66.0
1,63.0,63.0,60.0,87.0,53.0,85.0,52.0,86.0,74.0,65.0
2,84.0,68.0,66.0,73.0,63.0,109.0,127.0,184.0,57.0,67.0
3,88.0,62.0,77.0,52.0,56.0,73.0,57.0,73.0,71.0,85.0
4,58.0,82.0,88.0,62.0,60.0,69.0,64.0,73.0,67.0,89.0
5,58.0,79.0,91.0,78.0,90.0,105.0,116.0,123.0,70.0,63.0
6,79.0,89.0,87.0,68.0,63.0,63.0,73.0,53.0,52.0,74.0
7,59.0,70.0,64.0,88.0,88.0,54.0,66.0,92.0,135.0,113.0
8,79.0,87.0,92.0,76.0,91.0,70.0,121.0,77.0,78.0,77.0
9,76.0,95.0,60.0,68.0,62.0,91.0,110.0,96.0,178.0,147.0
